"","Hospital Name","City","State","County Name","Heart Attack Mortality","Heart Attack Readmission","Heart Failure Mortality","Heart Failure Readmission","Pneumonia Mortality","Pneumonia Readmission"
"1","SOUTHEAST ALABAMA MEDICAL CENTER","DOTHAN","AL","HOUSTON","666","728","741","891","371","400"
"2","MARSHALL MEDICAL CENTER SOUTH","BOAZ","AL","MARSHALL","44","21","234","264","372","374"
"3","ELIZA COFFEE MEMORIAL HOSPITAL","FLORENCE","AL","LAUDERDALE","329","342","523","614","836","842"
"4","MIZELL MEMORIAL HOSPITAL","OPP","AL","COVINGTON","14","1","113","135","239","254"
"5","CRENSHAW COMMUNITY HOSPITAL","LUVERNE","AL","CRENSHAW","9","4","53","59","61","56"
"6","MARSHALL MEDICAL CENTER NORTH","GUNTERSVILLE","AL","MARSHALL","22","13","163","173","315","326"
"7","ST VINCENT'S EAST","BIRMINGHAM","AL","JEFFERSON","220","213","348","417","441","452"
"8","DEKALB REGIONAL MEDICAL CENTER","FORT PAYNE","AL","DE KALB","99","79","137","160","215","210"
"9","SHELBY BAPTIST MEDICAL CENTER","ALABASTER","AL","SHELBY","192","199","262","323","318","332"
"10","CALLAHAN EYE FOUNDATION HOSPITAL","BIRMINGHAM","AL","JEFFERSON","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"11","HELEN KELLER MEMORIAL HOSPITAL","SHEFFIELD","AL","COLBERT","85","43","257","289","324","336"
"12","DALE MEDICAL CENTER","OZARK","AL","DALE","33","15","95","128","150","183"
"13","CHEROKEE MEDICAL CENTER","CENTRE","AL","CHEROKEE","8","5","70","77","116","112"
"14","BAPTIST MEDICAL CENTER SOUTH","MONTGOMERY","AL","MONTGOMERY","312","379","387","531","203","214"
"15","JACKSON HOSPITAL & CLINIC INC","MONTGOMERY","AL","MONTGOMERY","200","208","449","533","354","358"
"16","GEORGE H. LANIER MEMORIAL HOSPITAL","VALLEY","AL","CHAMBERS","84","56","180","220","115","113"
"17","ELBA GENERAL HOSPITAL","ELBA","AL","COFFEE","2","1","24","25","89","90"
"18","EAST ALABAMA MEDICAL CENTER AND SNF","OPELIKA","AL","LEE","275","321","619","780","251","260"
"19","WEDOWEE HOSPITAL","WEDOWEE","AL","RANDOLPH","9","5","56","76","89","105"
"20","UNIVERSITY OF ALABAMA HOSPITAL","BIRMINGHAM","AL","JEFFERSON","206","262","371","512","316","343"
"21","COMMUNITY HOSPITAL INC","TALLASSEE","AL","ELMORE","25","15","98","115","101","111"
"22","CULLMAN REGIONAL MEDICAL CENTER","CULLMAN","AL","CULLMAN","128","99","360","441","415","432"
"23","ANDALUSIA REGIONAL HOSPITAL","ANDALUSIA","AL","COVINGTON","22","11","183","223","232","253"
"24","STRINGFELLOW MEMORIAL HOSPITAL","ANNISTON","AL","CALHOUN","84","65","205","232","228","250"
"25","HUNTSVILLE HOSPITAL","HUNTSVILLE","AL","MADISON","1035","1162","1438","1734","920","936"
"26","GADSDEN REGIONAL MEDICAL CENTER","GADSDEN","AL","ETOWAH","228","219","385","471","424","459"
"27","CHILTON MEDICAL CENTER","CLANTON","AL","CHILTON","2","3","39","47","59","78"
"28","MARION REGIONAL MEDICAL CENTER","HAMILTON","AL","MARION","8","6","69","86","222","244"
"29","FAYETTE MEDICAL CENTER","FAYETTE","AL","FAYETTE","36","21","104","123","199","203"
"30","RIVERVIEW REGIONAL MEDICAL CENTER","GADSDEN","AL","ETOWAH","150","145","383","456","376","393"
"31","GEORGIANA HOSPITAL","GEORGIANA","AL","BUTLER","40","31","70","103","104","120"
"32","MEDICAL CENTER ENTERPRISE","ENTERPRISE","AL","COFFEE","33","20","154","192","182","190"
"33","ST VINCENTS BLOUNT","ONEONTA","AL","BLOUNT","23","12","71","76","153","174"
"34","GREENE COUNTY HOSPITAL","EUTAW","AL","GREENE","1","1","34","45","38","39"
"35","LAKE MARTIN COMMUNITY HOSPITAL","DADEVILLE","AL","TALLAPOOSA","11","13","38","54","72","83"
"36","PARKWAY MEDICAL CENTER","DECATUR","AL","MORGAN","27","9","219","291","214","257"
"37","FLOWERS HOSPITAL","DOTHAN","AL","HOUSTON","315","333","518","627","419","434"
"38","ST VINCENT'S BIRMINGHAM","BIRMINGHAM","AL","JEFFERSON","233","250","499","586","524","499"
"39","BIBB MEDICAL CENTER","CENTREVILLE","AL","BIBB","2","1","27","33","53","51"
"40","LAWRENCE MEDICAL CENTER","MOULTON","AL","LAWRENCE","34","34","85","105","161","179"
"41","HIGHLANDS MEDICAL CENTER","SCOTTSBORO","AL","JACKSON","35","20","154","165","459","489"
"42","WIREGRASS MEDICAL CENTER","GENEVA","AL","GENEVA","22","13","101","113","211","235"
"43","RUSSELL HOSPITAL","ALEXANDER CITY","AL","TALLAPOOSA","81","74","159","208","183","207"
"44","FLORALA MEMORIAL HOSPITAL","FLORALA","AL","COVINGTON","1","1","55","91","111","114"
"45","MEDICAL CENTER BARBOUR","EUFAULA","AL","BARBOUR","10","3","100","121","125","125"
"46","CLAY COUNTY HOSPITAL","ASHLAND","AL","CLAY","27","23","92","103","125","125"
"47","NORTHEAST ALABAMA REGIONAL MED CENTER","ANNISTON","AL","CALHOUN","448","465","609","712","351","368"
"48","ATHENS-LIMESTONE HOSPITAL","ATHENS","AL","LIMESTONE","44","22","182","210","202","203"
"49","SOUTH BALDWIN REGIONAL MEDICAL CENTER","FOLEY","AL","BALDWIN","66","41","282","344","199","218"
"50","DECATUR GENERAL HOSPITAL","DECATUR","AL","MORGAN","74","52","375","450","354","374"
"51","NORTHWEST MEDICAL CENTER","WINFIELD","AL","MARION","20","13","85","102","224","229"
